LOCATION,SUBJECT,MEASURE,TIME,Value
Australia,REAL,IDX2015,2020,106.73
Austria,REAL,IDX2015,2020,125.57
Belgium,REAL,IDX2015,2020,110.14
Canada,REAL,IDX2015,2020,129.65
Czechia,REAL,IDX2015,2020,138.24
Denmark,REAL,IDX2015,2020,119.87
Finland,REAL,IDX2015,2020,102.17
France,REAL,IDX2015,2020,111.92
Germany,REAL,IDX2015,2020,131.14
Greece,REAL,IDX2015,2020,112.18
Hungary,REAL,IDX2015,2020,153.67
Iceland,REAL,IDX2015,2020,143.31
Ireland,REAL,IDX2015,2020,127.25
Italy,REAL,IDX2015,2020,98.04
Japan,REAL,IDX2015,2020,107.05
South Korea,REAL,IDX2015,2020,101.65
Luxembourg,REAL,IDX2015,2020,140.70
Mexico,REAL,IDX2015,2020,117.80
Netherlands,REAL,IDX2015,2020,131.49
New Zealand,REAL,IDX2015,2020,133.09
Norway,REAL,IDX2015,2020,108.85
Poland,REAL,IDX2015,2020,123.98
Portugal,REAL,IDX2015,2020,144.50
Slovakia,REAL,IDX2015,2020,133.54
Spain,REAL,IDX2015,2020,122.13
Sweden,REAL,IDX2015,2020,118.26
Switzerland,REAL,IDX2015,2020,114.31
Turkey,REAL,IDX2015,2020,99.08
United Kingdom,REAL,IDX2015,2020,110.13
United States,REAL,IDX2015,2020,125.38
Brazil,REAL,IDX2015,2020,83.14
Chile,REAL,IDX2015,2020,129.28
China,REAL,IDX2015,2020,129.75
Colombia,REAL,IDX2015,2020,112.87
Estonia,REAL,IDX2015,2020,119.12
India,REAL,IDX2015,2020,107.88
Indonesia,REAL,IDX2015,2020,98.11
Israel,REAL,IDX2015,2020,114.50
Latvia,REAL,IDX2015,2020,130.91
Lithuania,REAL,IDX2015,2020,127.84
Russia,REAL,IDX2015,2020,118.99
Slovenia,REAL,IDX2015,2020,130.50
South Africa,REAL,IDX2015,2020,98.19
Bulgaria,REAL,IDX2015,2020,127.10
Romania,REAL,IDX2015,2020,111.19
